"communicate","v.","to tell"
"communicate","v.","to give or exchange information"
"community","n.","a group of people living together in one place or area"
"compare","v.","to examine what is different or similar"
"complete","ad.","having all parts"
"complete","ad.","ended or finished"
"complex","ad.","of or having many parts that are difficult to understand"
"complex","ad.","not simple"
"compromise","n.","the settlement of an argument where each side agrees to accept less than first demanded"
"concern","v.","to fear"
"condemn","v.","to say a person or action is wrong or bad"
"condition","n.","something declared necessary to complete an agreement"
"condition","n.","a person's health"
"conference","n.","a meeting"
"confirm","v.","to approve"
"confirm","v.","to say that something is true"
"conflict","n.","a fight"
"congratulate","v.","to praise a person or to express pleasure for success or good luck"
"Congress","n.","the organization of people elected to make the laws of the United States"
"Congress","n.","a similar organization in other countries"
"connect","v.","to join one thing to another"
"connect","v.","to unite"
"connect","v.","to link"
"conservative","n.","one who usually supports tradition and opposes great change"
"consider","v.","to give thought to"
"consider","v.","to think about carefully"
"constitution","n.","the written general laws and ideas that form a nation's system of government"
"contain","v.","to hold"
"contain","v.","to include"
"continent","n.","any of the seven great land areas of the world"
"continue","v.","to go on doing or being"
"control","v.","to direct"
"control","v.","to have power over"
"convention","n.","a large meeting for a special purpose"
"cook","v.","to heat food before eating it"
"cool","ad.","almost cold"
"cooperate","v.","to act or work together"
"copy","n.","something made to look exactly like another"
"copy","v.","to make something exactly like another"
"corn","n.","a food grain"
"correct","ad.","TRUE"
"correct","ad.","free from mistakes"
"correct","v.","to change to what is right"
"cost","n.","the price or value of something"
"cost","v.","to be valued at"
"cotton","n.","a material made from a plant of the same name"
"count","v.","to speak or add numbers"
"country","n.","a nation"
"country","n.","the territory of a nation"
"country","n.","land away from cities"
"court","n.","where trials take place"
"court","n.","where judges make decisions about law"
"cover","n.","anything that is put over a person or thing"
"cover","v.","to put something over a person or thing"
"cow","n.","a farm animal used for its milk"
"crash","v.","to fall violently"
"crash","v.","to hit with great force"
"create","v.","to make"
"create","v.","to give life or form to"
"creature","n.","any living being"
"creature","n.","any animal or human"
"credit","n.","an agreement that payments will be made at a later time"
"crew","n.","a group of people working together"
"crime","n.","an act that violates a law"
"criminal","n.","a person who is responsible for a crime"
"crisis","n.","an extremely important time when something may become much better or worse"
"crisis","n.","a dangerous situation"
"criticize","v.","to say what is wrong with something or someone"
"criticize","v.","to condemn"
"criticize","v.","to judge"
"cross","v.","to go from one side to another"
"cross","v.","to go across"
"crowd","n.","a large number of people gathered in one place"
"crush","v.","to damage or destroy by great weight"
"crush","v.","to defeat completely"
"cry","v.","to express or show sorrow or pain"
"cure","n.","something that makes a sick person well"
"cure","v.","to improve health"
"cure","v.","to make well"
"curfew","n.","an order to people to stay off the streets or to close their businesses"
"current","ad.","belonging to the present time"
"custom","n.","a long-established belief or activity of a people"
"customs","n.","taxes on imports"
"cut","v.","to divide or injure with a sharp tool"
"cut","v.","to make less"
"cut","v.","to reduce"
"dam","n.","a wall built across a river to hold back flowing water"
"damage","n.","harm"
"damage","v.","to cause injury or destruction"
"dance","v.","to move the body and feet to music"
"dark","ad.","having little or no light"
"date","n.","an expression of time"
"daughter","n.","a person's female child"
"day","n.","twenty-four hours"
"day","n.","the hours of sunlight"
"dead","ad.","not living"
"deaf","ad.","not able to hear"
"deal","n.","to buy or sell"
"deal","v.","to have to do with"
"debate","n.","a public discussion or argument"
"debate","v.","to argue for or against something"
"debt","n.","something that is owed"
"debt","n.","the condition of owing"
"decide","v.","to choose"
"decide","v.","to settle"
"decide","v.","to judge"
"declare","v.","to say"
"declare","v.","to make a statement"
"decrease","v.","to make less in size or amount"
"deep","ad.","going far down"
"deep","ad.","a long way from top to bottom"
"defeat","n.","a loss"
"defeat","n.","the condition of having lost"
"defeat","v.","to cause to lose in a battle or struggle"
"defend","v.","to guard or fight against attack"
"defend","v.","to protect"
"define","v.","to give the meaning of"
"define","v.","to explain"
"degree","n.","a measure of temperature"
"delay","v.","to decide to do something at a later time"
"delay","v.","to postpone"
"delay","v.","to cause to be late"
"delegate","n.","one sent to act for another"
"delegate","n.","one who represents another"
"demand","v.","to ask by ordering"
"demand","v.","to ask with force"
"democracy","n.","the system of government in which citizens vote to choose leaders or to make other important decisions"
"demonstrate","v.","to make a public show of opinions or feelings"
"demonstrate","v.","to explain by using examples"
"denounce","v.","to accuse of being wrong or evil"
"denounce","v.","to criticize severely"
"deny","v.","to declare that something is not true"
"deny","v.","to refuse a request"
"depend","v.","to need help and support"
"deplore","v.","to regret strongly"
"deplore","v.","to express sadness"
"deploy","v.","to move forces or weapons into positions for action"
"depression","n.","severe unhappiness"
"depression","n.","a period of reduced business and economic activity during which many people lose their jobs"
"describe","v.","to give a word picture of something"
"describe","v.","to give details of something"
"desert","n.","a dry area of land"
"design","v.","to plan or create plans for"
"desire","v.","to want very much"
"desire","v.","to wish for"
"destroy","v.","to break into pieces"
"destroy","v.","to end the existence of"
"detail","n.","a small part of something"
"detail","n.","a small piece of information"
"develop","v.","to grow"
"develop","v.","to create"
"develop","v.","to experience progress"
"device","n.","a piece of equipment made for a special purpose"
"dictator","n.","a ruler with complete power"
"die","v.","to become dead"
"die","v.","to stop living"
"die","v.","to end"
"diet","n.","usual daily food and drink"
"different","ad.","not the same"
"difficult","ad.","not easy"
"dig","v.","to make a hole in the ground"
"dinner","n.","the main amount of food eaten at a usual time"
"dinner","n.","a special event that includes food"
"diplomat","n.","a person who represents his or her government in dealing with another government"
"direct","ad.","straight to something"
"direct","ad.","not through some other person or thing"
"direct","v.","to lead"
"direct","v.","to aim or show the way"
"direction","n.","the way"
"direction","n.","where someone or something came from or went to"
"dirt","n.","earth or soil"
"disappear","v.","to become unseen"
"disappear","v.","to no longer exist"
"disarm","v.","to take away weapons"
"disarm","v.","to no longer keep weapons"
"disarm","v.","to make a bomb harmless by removing its exploding device"
"discover","v.","to find or learn something"
"discuss","v.","to talk about"
"discuss","v.","to exchange ideas"
"dismiss","v.","to send away"
"dismiss","v.","to refuse to consider"
"dispute","n.","an angry debate"
"dispute","v.","to oppose strongly by argument"
"dissident","n.","a person who strongly disagrees with his or her government"
"distance","n.","the amount of space between two places or objects"
"dive","v.","to jump into water head first"
"divide","v.","to separate into two or more parts"
"do","v.","to act"
"do","v.","to make an effort"
"doctor","n.","a person trained in medicine to treat sick people"
